Company,Valuation,Valuation In Billions,Date Joined,Industry,City,Country,Continent,Year Founded,Fund Raised,Funding in Millions,Funding in Billions,Major Investor 1,Major Investor 2,Major Investor 3,Major Investor 4
VideoAmp,$1B,1,21-10-2021,Internet software & services,Los Angeles,United States,North America,2014,$382M,382,0.382,Simon Equity Partners, Wavemaker Partners, Anthem Venture Partners,
Yidian Zixun,$1B,1,17-10-2017,Mobile & telecommunications,Beijing,China,Asia,2021,$151M,151,0.151,Phoenix New Media, Tianjin Haihe Industry Fund,,
Yotpo,$1B,1,18-03-2021,Internet software & services,New York,United States,North America,2011,$436M,436,0.436,Bessemer Venture Partners, Vintage Investment Partners, Blumberg Capital,
Neon,$1B,1,14-02-2022,Fintech,Sao Paulo,Brazil,South America,2016,$720M,720,0.72,Propel Venture Partners, Monashees+, BBVA,
Veepee,$1B,1,02-07-2007,E-commerce & direct-to-consumer,La Plaine Saint-Denis,France,Europe,2001,Unknown,Unknown,#VALUE!,Summit Partners, Qatar Holding,,
Alloy,$1B,1,30-09-2021,Fintech,New York,United States,North America,2015,$156M,156,0.156,Bessemer Venture Partners, Eniac Ventures, Canapi Ventures,
Epirus,$1B,1,14-02-2022,Other,Hawthorne,United States,North America,2018,$287M,287,0.287,8VC, Bedrock Capital, Broom Ventures,
Klook,$1B,1,07-08-2018,Travel,Central,Hong Kong,Asia,2014,$722M,722,0.722,Sequoia Capital China, Goldman Sachs, Matrix Partners China,
Yaoshibang,$1B,1,15-06-2021,Health,Guangzhou,China,Asia,2015,$496M,496,0.496,Green Pine Capital Partners, Ivy Capital, DCM Ventures,
Signifyd,$1B,1,15-04-2021,Fintech,San Jose,United States,North America,2011,$390M,390,0.39,Menlo Ventures, Resolute Ventures, IA Ventures,
Motorway,$1B,1,29-11-2021,E-commerce & direct-to-consumer,London,United Kingdom,Europe,2017,$276M,276,0.276,Marchmont Ventures, BMW i Ventures, Index Ventures,
RIDI,$1B,1,24-01-2022,E-commerce & direct-to-consumer,Seoul,South Korea,Asia,2008,$178M,178,0.178,Atinum Investment, Company K Partners, GIC,
Athletic Greens,$1B,1,25-01-2022,Health,New York,United States,North America,2010,$115M,115,0.115,SC.Holdings, Not Boring Capital, Bolt Ventures,
GPclub,$1B,1,22-10-2018,Other,Seoul,South Korea,Asia,2003,$67M,67,0.067,Goldman Sachs,,,
Grove Collaborative,$1B,1,06-09-2019,E-commerce & direct-to-consumer,San Francisco,United States,North America,2016,$475M,475,0.475,MHS Capital, NextView Ventures, Mayfield Fund,
Tongdun Technology,$1B,1,25-04-2019,Cybersecurity,Hangzhou,China,Asia,2013,$252M,252,0.252,Advantech Capital, Temasek Holdings Ltd., Tiantu Capital Co.,
Unisound,$1B,1,19-07-2018,Artificial intelligence,Beijing,China,Asia,2012,$361M,361,0.361,Qiming Venture Partners, China Internet Investment Fund, Qualcomm Ventures,
Betterment,$1B,1,29-09-2021,Fintech,New York,United States,North America,2010,$335M,335,0.335,Bessemer Venture Partners, Menlo Ventures, Anthermis,
Cava Group,$1B,1,27-04-2021,Other,Washington,United States,North America,2010,$738M,738,0.738,SWaN & Legend Ventures, Revolution Growth, Invus Group,
CoinTracker,$1B,1,27-01-2022,Fintech,San Francisco,United States,North America,2017,$102M,102,0.102,Initialized Capital, General Catalyst, Kraken Ventures,
DistroKid,$1B,1,16-08-2021,Internet software & services,New York,United States,North America,2013,Unknown,Unknown,#VALUE!,Insight Partners, Silversmith Capital Partners, Spotify,
Domestika,$1B,1,27-01-2022,Internet software & services,Berkeley,United States,North America,2012,$130M,130,0.13,Zeev Ventures, GSV Ventures,,
Flock Freight,$1B,1,20-10-2021,"Supply chain, logistics, & delivery",Encinitas,United States,North America,2015,$399M,399,0.399,SignalFire, GLP Capital Partners, Google Ventures,
InSightec,$1B,1,06-03-2020,Health,Tirat Carmel,Israel,Asia,1999,$633M,633,0.633,York Capital Management, GE Healthcare, Koch Disruptive Technologies,
Island,$1B,1,23-03-2022,Internet software & services,Dallas,United States,North America,2020,$215M,215,0.215,Insight Partners, Sequoia Capital, Stripes Group,
iTrustCapital,$1B,1,11-01-2022,Fintech,Long Beach,United States,North America,2018,$128M,128,0.128,Left Lane Capital, Walden Venture Capital,,
Konfio,$1B,1,29-09-2021,Fintech,Mexico City,Mexico,North America,2013,$378M,378,0.378,Kaszek Ventures, QED Investors, International Finance Corporation,
LinkTree,$1B,1,16-03-2022,Internet software & services,Melbourne,Australia,Oceania,2016,$166M,166,0.166,AirTree Ventures, Insight Partners, Index Ventures,
Loadsmart,$1B,1,01-02-2022,"Supply chain, logistics, & delivery",New York,United States,North America,2014,$336M,336,0.336,Chromo Invest, Maersk Growth, BlackRock,
Lukka,$1B,1,14-01-2022,Fintech,New York,United States,North America,2014,$201M,201,0.201,Liberty City Ventures, Soros Fund Management, Summer Capital,
Manner,$1B,1,24-12-2020,Other,Shanghai,China,Asia,2015,$10M,10,0.01,Coatue Management, H Capital, Capital Today,
The Brandtech Group,$1B,1,19-11-2019,Other,New York,United States,North America,2015,$610M,610,0.61,Undisclosed,,,
TravelPerk,$1B,1,12-01-2022,Travel,Barcelona,Spain,Europe,2015,$408M,408,0.408,LocalGlobe, Kinnevik, Felix Capital,
YugaByte,$1B,1,28-10-2021,Data management & analytics,Sunnyvale,United States,North America,2016,$291M,291,0.291,Lightspeed Venture Partners, Dell Technologies Capital, Wipro Ventures,
Intercom,$1B,1,27-03-2018,Internet software & services,San Francisco,United States,North America,2011,$241M,241,0.241,FirstMark Capital, Tiger Global Management,,
OVO Energy,$1B,1,14-02-2019,Other,Bristol,United Kingdom,Europe,2009,$324M,324,0.324,Mitsubishi Corporation, Mayfair Equity Partners,,
BigID,$1B,1,16-12-2020,Cybersecurity,New York,United States,North America,2015,$246M,246,0.246,BOLDstart Ventures, SAP.iO Fund, Scale Venture Partners,
CaptivateIQ,$1B,1,26-01-2022,Fintech,San Francisco,United States,North America,2014,$165M,165,0.165,Sequoia Capital, Y Combinator, Accel,
Flipdish,$1B,1,13-01-2022,Internet software & services,Dublin,Ireland,Europe,2015,$157M,157,0.157,Tencent Holdings, Tiger Global Management, Global Founders Capital,
Honor Technology,$1B,1,05-10-2021,Internet software & services,San Francisco,United States,North America,2014,$325M,325,0.325,Andreessen Horowitz, Prosus Ventures, Thrive Capital,
Incode Technologies,$1B,1,07-12-2021,Cybersecurity,San Francisco,United States,North America,2015,$257M,257,0.257,Dila Capital, Framework Ventures, 3L,
Kuaikan Manhua,$1B,1,01-12-2017,Internet software & services,Beijing,China,Asia,2014,$594M,594,0.594,Sequoia Capital China, CMC Capital Partners, Tencent Holdings,
Marshmallow,$1B,1,08-09-2021,Fintech,London,United Kingdom,Europe,2017,$116M,116,0.116,Passion Capital, Hedosophia, Outrun Ventures,
Mythical Games,$1B,1,04-11-2021,Internet software & services,Sherman Oaks,United States,North America,2018,$260M,260,0.26,Javelin Venture Partners, Struck Capital, Alumni Ventures Group,
Route,$1B,1,21-01-2022,"Supply chain, logistics, & delivery",Lehi,United States,North America,2018,$482M,482,0.482,Madrona Venture Group, Banner Ventures, FJ Labs,
Tackle.io,$1B,1,21-12-2021,Internet software & services,Boise,United States,North America,2016,$148M,148,0.148,Andreessen Horowitz, Bessemer Venture Partners, Coatue Management,
Nexii,$1B,1,08-09-2021,Other,Vancouver,Canada,North America,2020,$45M,45,0.045,Trane Technologies, Honeywell,,
GalaxySpace,$1B,1,17-11-2020,Mobile & telecommunications,Beijing,China,Asia,2016,$14M,14,0.014,Shunwei Capital Partners, 5Y Capital, Legend Capital,
Insider,$1B,1,28-02-2022,Internet software & services,Istanbul,Turkey,Europe,2012,$167M,167,0.167,Wamda Capital, Endeavor, Riverwood Capital,
Spiber,$1B,1,08-09-2021,Other,Tsuruoka,Japan,Asia,2007,$520M,520,0.52,Cool Japan Fund, JAFCO, The Carlyle Group,
Ada Support,$1B,1,07-05-2021,Artificial intelligence,Toronto,Canada,North America,2016,$191M,191,0.191,Version One Ventures, Bessemer Venture Partners, FirstMark Capital,
AgentSync,$1B,1,07-12-2021,Fintech,Denver,United States,North America,2018,$111M,111,0.111,Craft Ventures, Caffeinated Capital, Operator Collective,
Alation,$1B,1,03-06-2021,Internet software & services,Redwood City,United States,North America,2012,$192M,192,0.192,Costanoa Ventures, Data Collective, Salesforce Ventures,
BigPanda,$1B,1,12-01-2022,Artificial intelligence,Mountain View,United States,North America,2012,$317M,317,0.317,Advent International, Battery Ventures, Sequoia Capital Israel,
CarDekho,$1B,1,13-10-2021,E-commerce & direct-to-consumer,Jaipur,India,Asia,2008,$448M,448,0.448,Sequoia Capital India, Hillhouse Capital Management, Sunley House Capital Management,
Copado,$1B,1,13-09-2021,Data management & analytics,Chicago,United States,North America,2013,$271M,271,0.271,Insight Partners, Salesforce Ventures, Perpetual Investors,
DailyPay,$1B,1,18-05-2021,Fintech,New York,United States,North America,2016,$189M,189,0.189,RPM Ventures, Inspiration Ventures, Carrick Capital Partners,
FloQast,$1B,1,21-07-2021,Fintech,Los Angeles,United States,North America,2013,$230M,230,0.23,Polaris Partners, Insight Partners, Norwest Venture Partners,
Gem,$1B,1,28-09-2021,Internet software & services,San Francisco,United States,North America,2017,$148M,148,0.148,Accel, Greylock Partners, Meritech Capital Partners,
GrubMarket,$1B,1,14-09-2021,E-commerce & direct-to-consumer,San Francisco,United States,North America,2013,$382M,382,0.382,GGV Capital, BlackRock, ACE & Company,
Helium Systems,$1B,1,22-02-2022,Internet software & services,San Francisco,United States,North America,2013,$365M,365,0.365,FirstMark Capital, Tiger Global Management, FTX Venture,
Inari,$1B,1,12-05-2021,Other,Cambridge,United States,North America,2016,$337M,337,0.337,Flagship Pioneering, Alexandria Venture Investments, Investment Corporation of Dubai,
Jokr,$1B,1,02-12-2021,E-commerce & direct-to-consumer,New York,United States,North America,2021,$430M,430,0.43,GGV Capital, Tiger Global Management, Greycroft,
LivSpace,$1B,1,08-02-2022,E-commerce & direct-to-consumer,Bengaluru,India,Asia,2015,$427M,427,0.427,Jungle Ventures, Helion Venture Partners, INGKA Investments,
Merama,$1B,1,09-12-2021,E-commerce & direct-to-consumer,Mexico City,Mexico,North America,2020,$345M,345,0.345,SoftBank Latin America Fund, Advent International, Balderton Capital,
MindTickle,$1B,1,03-08-2021,Internet software & services,San Francisco,United States,North America,2012,$281M,281,0.281,Qualcomm Ventures, Accel, Canaan Partners,
MyGlamm,$1B,1,10-11-2021,E-commerce & direct-to-consumer,Mumbai,India,Asia,2015,$310M,310,0.31,L'Occitane, Trifecta Capital, Bessemer Venture Partners,
Oda,$1B,1,02-06-2021,E-commerce & direct-to-consumer,Oslo,Norway,Europe,2013,$337M,337,0.337,Kinnevik, Softbank Group, Prosus Ventures,
Offchain Labs,$1B,1,31-08-2021,Internet software & services,Princeton,United States,North America,2018,$124M,124,0.124,Pantera Capital, Polychain Capital, Lightspeed Venture Partners,
Phantom,$1B,1,31-01-2022,Fintech,San Francisco,United States,North America,2021,$118M,118,0.118,Paradigm, Andreessen Horowitz, Jump Capital,
Pilot.com,$1B,1,26-03-2021,Fintech,San Francisco,United States,North America,2016,$161M,161,0.161,Index Ventures, Sequoia Capital, Bezos Expeditions,
Prime Medicine,$1B,1,13-07-2021,Health,Cambridge,United States,North America,2019,$315M,315,0.315,Newpath Partners, Google Ventures, F-Prime Capital,
Public,$1B,1,17-02-2021,Fintech,New York,United States,North America,2008,$309M,309,0.309,Accel, Greycroft, Advancit Capital,
Qumulo,$1B,1,16-07-2020,Data management & analytics,Seattle,United States,North America,2012,$347M,347,0.347,Madrona Venture Group, Kleiner Perkins Caufield & Byers, Highland Capital Partners,
Rohlik,$1B,1,01-07-2021,"Supply chain, logistics, & delivery",Prague,Czech Republic,Europe,2019,$380M,380,0.38,Partech Partners, Index Ventures, Quadrille Capital,
SeekOut,$1B,1,12-01-2022,Internet software & services,Bellevue,United States,North America,2017,$189M,189,0.189,Mayfield, Madrona Venture Group, Tiger Global Management,
SmartMore,$1B,1,24-06-2021,Artificial intelligence,Shenzhen,China,Asia,2019,$300M,300,0.3,IDG Capital, ZhenFund, Sequoia Capital China,
Tealium,$1B,1,03-02-2021,Internet software & services,San Diego,United States,North America,2008,$264M,264,0.264,Georgian Partners, Silver Lake, Presidio Ventures,
UpGrad,$1B,1,09-08-2021,Edtech,Mumbai,India,Asia,2015,$194M,194,0.194,Qualcomm Ventures, Accel, Canaan Partners,
Workhuman,$1B,1,23-06-2020,Internet software & services,Dublin,Ireland,Europe,1999,$9M,9,0.009,ICG,,,
Xpressbees,$1B,1,09-02-2022,"Supply chain, logistics, & delivery",Pune,India,Asia,2012,$573M,573,0.573,Norwest Venture Partners, Investcorp, Blackstone,
L&P Cosmetic,$1B,1,01-01-2016,Consumer & retail,Seoul,South Korea,Asia,2009,$33M,33,0.033,CDIB Capital,,,
Mininglamp Technology,$1B,1,27-03-2019,Artificial intelligence,Beijing,China,Asia,2014,$787M,787,0.787,Russia-China Investment Fund, Tencent Holdings, Sequoia Capital China,
Luoji Siwei,$1B,1,20-07-2017,Edtech,Beijing,China,Asia,2012,$144M,144,0.144,Sequoia Capital China, Qiming Venture Partners, Tencent Holdings,
IRL,$1B,1,15-06-2021,Internet software & services,San Francisco,United States,North America,2017,$197M,197,0.197,Goodwater Capital, Floodgate, Founders Fund,
Modern Health,$1B,1,11-02-2021,Health,San Francisco,United States,North America,2017,$167M,167,0.167,Kleiner Perkins Caufield & Byers, Afore Capital, Founders Fund,
Tuhu,$1B,1,15-09-2018,Auto & transportation,Shanghai,China,Asia,2011,$875M,875,0.875,Qiming Venture Partners, Yaxia Automobile, Far East Horizon,
CloudBees,$1B,1,09-12-2021,Data management & analytics,San Jose,United States,North America,2010,$236M,236,0.236,Matrix Partners, Lightspeed Venture Partners, Verizon Ventures,
Elemy,$1B,1,06-10-2021,Health,San Francisco,United States,North America,2019,$323M,323,0.323,General Catalyst, Bling Capital, Felicis Ventures,
Guideline,$1B,1,16-06-2021,Fintech,San Mateo,United States,North America,2015,$339M,339,0.339,Pelion Venture Partners, Foundation Capital, Thoma Bravo,
Happy Money,$1B,1,08-02-2022,Fintech,Tustin,United States,North America,2009,$192M,192,0.192,FirstMark Capital, Anthemis, CMFG Ventures,
Rebellion Defense,$1B,1,16-09-2021,Artificial intelligence,Washington DC,United States,North America,2019,$150M,150,0.15,Venrock, Innovation Endeavors, Insights Partners,
STORD,$1B,1,13-09-2021,"Supply chain, logistics, & delivery",Atlanta,United States,North America,2015,$205M,205,0.205,Dynamo VC, Susa Ventures, Founders Fund,
At-Bay,$1B,1,27-07-2021,Fintech,Mountain View,United States,North America,2016,$292M,292,0.292,Lightspeed Venture Partners, Khosla Ventures, Munich Re Ventures,
TELD,$1B,1,16-12-2019,Fintech,Qingdao,China,Asia,2014,$396M,396,0.396,China Reform Fund, Gaopeng Capital, Jinhui Xingye,
Acko General Insurance,$1B,1,28-10-2021,Fintech,Bengaluru,India,Asia,2016,$458M,458,0.458,Intact Ventures, Munich Re Ventures, General Atlantic,
apna,$1B,1,15-09-2021,Internet software & services,Bengaluru,India,Asia,2019,$193M,193,0.193,Sequoia Capital India, Rocketship.vc, Lightspeed India Partners,
Beyond Identity,$1B,1,22-02-2022,Cybersecurity,New York,United States,North America,2019,$205M,205,0.205,New Enterprise Associates, Koch Disruptive Technologies, Evolution Equity Partners,
Carousell,$1B,1,15-09-2021,E-commerce & direct-to-consumer,,Singapore,Asia,2012,$288M,288,0.288,500 Global, Rakuten Ventures, Golden Gate Ventures,
Chief,$1B,1,31-03-2022,Other,New York,United States,North America,2019,$140M,140,0.14,General Catalyst, Inspired Capital, Flybridge Capital Partners,
CoinDCX,$1B,1,10-08-2021,Fintech,Maharashtra,India,Asia,2017,$109M,109,0.109,Polychain Capital, Coinbase Ventures, Jump Capital,
Daily Harvest,$1B,1,16-11-2021,E-commerce & direct-to-consumer,New York,United States,North America,2014,$120M,120,0.12,M13, Lightspeed Venture Partners, Lone Pine Capital,
Enpal,$1B,1,18-10-2021,Internet software & services,Berlin,Germany,Europe,2017,$304M,304,0.304,HV Capital, Softbank Group, BlackRock,
eSentire,$1B,1,22-02-2022,Cybersecurity,Waterloo,Canada,North America,2001,$186M,186,0.186,Edison Partners, Georgian Partners, VentureLink,
Firefly Aerospace,$1B,1,04-05-2021,Other,Cedar Park,United States,North America,2014,$172M,172,0.172,XBTO Ventures, Raven One Ventures, SK Ventures,
Fundbox,$1B,1,30-11-2021,Fintech,San Francisco,United States,North America,2013,$404M,404,0.404,Khosla Ventures, General Catalyst, Blumberg Capital,
G2,$1B,1,22-06-2021,Internet software & services,Chicago,United States,North America,2012,$258M,258,0.258,Pritzker Group Venture Capital, Accel, Hyde Park Venture Partners,
Gaussian Robotics,$1B,1,10-11-2021,Hardware,Shanghai,China,Asia,2013,$325M,325,0.325,BlueRun Ventures, Grand Flight Investment, Meituan Dianping,
GetYourGuide,$1B,1,16-05-2019,Travel,Berlin,Germany,Europe,2009,$656M,656,0.656,Spark Capital, Highland Europe, Sunstone Capital,
GlobalBees,$1B,1,28-12-2021,E-commerce & direct-to-consumer,New Delhi,India,Asia,2021,$185M,185,0.185,Chiratae Ventures, SoftBank Group, Trifecta Capital,
Ivalua,$1B,1,21-05-2019,Fintech,Redwood City,United States,North America,2000,$134M,134,0.134,Ardian, Tiger Global Management, KKR,
Juanpi,$1B,1,14-04-2016,E-commerce & direct-to-consumer,Wuhan,China,Asia,2012,$136M,136,0.136,Tiantu Capital, SAIF Partners China, Newsion Venture Capital,
Karat,$1B,1,13-10-2021,Internet software & services,Seattle,United States,North America,2014,$169M,169,0.169,8VC, Norwest Venture Partners, Tiger Global Management,
LEAD School,$1B,1,13-01-2022,Edtech,Andheri,India,Asia,2012,$166M,166,0.166,WestBridge Capital, GSV Ventures, Elevar Equity,
Nexthink,$1B,1,08-02-2021,Data management & analytics,Prilly,Switzerland,Europe,2004,$346M,346,0.346,Auriga, Galeo Ventures, Highland Europe,
People.ai,$1B,1,11-08-2021,Internet software & services,San Francisco,United States,North America,2017,$200M,200,0.2,GGV Capital, Lightspeed Venture Partners, ICONIQ Capital,
Pharmapacks,$1B,1,12-11-2020,E-commerce & direct-to-consumer,Islandia,United States,North America,2010,$433M,433,0.433,The Carlyle Group,,,
Rightway,$1B,1,30-03-2021,Health,New York,United States,North America,2017,$130M,130,0.13,Thrive Capital, Khosla Ventures, Tiger Global Management,
Sennder,$1B,1,14-01-2021,"Supply chain, logistics, & delivery",Berlin,Germany,Europe,2015,$340M,340,0.34,Accelm Scania Growth Capital, Lakestar,,
Sisense,$1B,1,09-01-2020,Data management & analytics,New York,United States,North America,2004,$274M,274,0.274,Opus Capital, Genesis Partners, Battery Ventures,
Staffbase,$1B,1,15-03-2022,Internet software & services,Chemnitz,Germany,Europe,2014,$307M,307,0.307,Insight Partners, e.ventures, General Atlantic,
Sunbit,$1B,1,20-05-2021,Fintech,Los Angeles,United States,North America,2016,$210M,210,0.21,Zeev Ventures, Group11, Chicago Ventures,
TangoMe,$1B,1,20-03-2014,Mobile & telecommunications,Mountain View,United States,North America,2009,$361M,361,0.361,Draper Fisher Jurtson, Qualcomm Ventures, Alibaba Group,
The Bank of London,$1B,1,30-11-2021,Fintech,London,United Kingdom,Europe,2018,$90M,90,0.09,Mangrove Capital Partners,14W, ForgeLight,
Zego,$1B,1,09-03-2021,Fintech,London,United Kingdom,Europe,2016,$202M,202,0.202,LocalGlobe, Balderton Capital, Target Global,
Nxin,$1B,1,18-09-2018,Internet software & services,Beijing,China,Asia,2015,$53M,53,0.053,Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund,,
Mamaearth,$1B,1,28-12-2021,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2016,$111M,111,0.111,Fireside Ventures, Sequoia Capital India, Stellaris Venture Partners,
Radius Payment Solutions,$1B,1,27-11-2017,Fintech,Crewe,United Kingdom,Europe,1990,$200M,200,0.2,Inflexion Private Equity,,,
Rivigo,$1B,1,11-07-2019,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,2014,$247M,247,0.247,SAIF Partners India, Warburg Pincus, Trifecta Capital Advisors,
Rubicon,$1B,1,25-08-2017,Other,Atlanta,United States,North America,2008,$223M,223,0.223,Goldman Sachs, Leonardo DiCaprio, Promecap,
Socar,$1B,1,16-10-2020,Auto & transportation,Jeju-do,South Korea,Asia,2012,$408M,408,0.408,Bain Capital, Altos Ventures, Songhyun Investment,
MobileCoin,$1B,1,07-07-2021,Fintech,San Francisco,United States,North America,2018,$107M,107,0.107,General Catalyst, Future Ventures, AU21,
Density,$1B,1,10-11-2021,Hardware,San Francisco,United States,North America,2014,$217M,217,0.217,Founders Fund, Upfront Ventures, 01 Advisors,
Instabase,$1B,1,21-10-2019,Data management & analytics,San Francisco,United States,North America,2015,$132M,132,0.132,New Enterprise Associates, Greylock Partners, Andreessen Horowitz,
Jiuxian,$1B,1,30-07-2015,E-commerce & direct-to-consumer,Beijing,China,Asia,2009,$250M,250,0.25,Sequoia Capital China, Rich Land Capital, Merrysunny Wealth,
Matrixport,$1B,1,01-06-2021,Fintech,,Singapore,Asia,2019,$100M,100,0.1,Dragonfly Captial, Qiming Venture Partners, DST Global,
Mixpanel,$1B,1,15-11-2021,Internet software & services,San Francisco,United States,North America,2009,$277M,277,0.277,Bain Capital Tech Opportunities, Andreessen Horowitz, Sequoia Capital,
Sendbird,$1B,1,06-04-2021,Mobile & telecommunications,San Mateo,United States,North America,2013,$221M,221,0.221,FundersClub, Y Combinator, Tiger Global Management,
OrCam Technologies,$1B,1,20-02-2018,Artificial intelligence,Jerusalem,Israel,Asia,2010,$86M,86,0.086,Intel Capital, Aviv Venture Capital,,
Leap Motor,$1B,1,20-11-2018,Auto & transportation,Hangzhou,China,Asia,2015,$1B,1000,1,Sequoia Capital China, Gopher Asset Management, Shanghai Electric Group,
1KMXC,$1B,1,30-08-2021,Hardware,Hangzhou,China,Asia,2014,$86M,86,0.086,Goldman Sachs Asset Management, SDP Investment, Alibaba Group,
58 Daojia,$1B,1,12-10-2015,Internet software & services,Beijing,China,Asia,2014,$300M,300,0.3,KKR, Alibaba Group, Ping An Insurance,
Agile Robots,$1B,1,09-09-2021,Hardware,Munich,Germany,Europe,2018,$240M,240,0.24,Hillhouse Capital Management, Sequoia Capital China, Linear Venture,
Aibee,$1B,1,13-04-2021,Artificial intelligence,Beijing,China,Asia,2017,$273M,273,0.273,Sequoia Capital China, Lenovo Capital and Incubator, Group GSR Ventures,
Aircall,$1B,1,23-06-2021,Internet software & services,New York,United States,North America,2014,$226M,226,0.226,Balderton Capital, Next World Capital, Draper Esprit,
Ajaib,$1B,1,04-10-2021,Fintech,Jakarta,Indonesia,Asia,2018,$245M,245,0.245,Softbank Ventures Asia, Alpha JWC Ventures, Insignia Ventures Partners,
Alto Pharmacy,$1B,1,30-01-2020,Health,San Francisco,United States,North America,2015,$524M,524,0.524,Jackson Square Ventures, Greenoaks Capital Management, Softbank Group,
Amagi,$1B,1,16-03-2022,Internet software & services,Bengaluru,India,Asia,2008,$240M,240,0.24,Mayfield, Accel, Norwest Venture Partners,
Amount,$1B,1,17-05-2021,Fintech,Chicago,United States,North America,2019,$243M,243,0.243,Invus Group, Hanaco Venture Capital, WestCap Group,
Amperity,$1B,1,13-07-2021,Artificial intelligence,Seattle,United States,North America,2016,$187M,187,0.187,Madrona Venture Group, Tiger Global Management, Madera Technology Partners,
Anyscale,$1B,1,07-12-2021,Artificial intelligence,Berkeley,United States,North America,2019,$160M,160,0.16,Andreessen Horowitz, Intel Capital, Foundation Capital,
Aptos,$1B,1,15-03-2022,Internet software & services,Palo Alto,United States,North America,2021,$200M,200,0.2,Andreessen Horowitz, Coinbase Ventures, Tiger Global Management,
Aqua Security,$1B,1,10-03-2021,Cybersecurity,Ramat Gan,Israel,Asia,2015,$265M,265,0.265,TLV Partners, Lightspeed Venture Partners, M12,
Assembly,$1B,1,21-09-2021,Internet software & services,Culver City,United States,North America,2019,Unknown,Unknown,#VALUE!,Advent International, PSG, Providence Equity Partners,
Assent,$1B,1,06-01-2022,"Supply chain, logistics, & delivery",Ottawa,Canada,North America,2010,$534M,534,0.534,Vista Equity Partners, Warburg Pincus, First Ascent Ventures,
Augury,$1B,1,26-10-2021,Artificial intelligence,New York,United States,North America,2011,$294M,294,0.294,Lerer Hippeau, Munich Re Ventures, Eclipse Ventures,
Axelar,$1B,1,15-02-2022,Internet software & services,Waterloo,Canada,North America,2020,$64M,64,0.064,Lemniscap VC, North Island Ventures, Polychain Capital,
Axiom Space,$1B,1,16-02-2021,Other,Houston,United States,North America,2016,$150M,150,0.15,C5 Capital, Hemisphere Ventures, The Venture Collective,
Banma Network Technologies,$1B,1,13-09-2018,Auto & transportation,Shanghai,China,Asia,2015,$697M,697,0.697,Yunfeng Capital, SDIC Innovation Investment Management, Shang Qi Capital,
BeiBei,$1B,1,22-01-2015,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2011,$224M,224,0.224,Banyan Capital, New Horizon Capital, IDG Capital Partners,
BenevolentAI,$1B,1,02-06-2015,Artificial intelligence,London,United Kingdom,Europe,2013,$292M,292,0.292,Woodford Investment Management,,,
Berlin Brands Group,$1B,1,01-09-2021,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2005,$800M,800,0.8,Ardian, Bain Capital,,
Betterfly,$1B,1,01-02-2022,Artificial intelligence,Santiago,Chile,South America,2018,$205M,205,0.205,QED Investors, DST Global, Endeavor,
BitFury,$1B,1,06-11-2018,Hardware,Amsterdam,Netherlands,Europe,2011,$170M,170,0.17,Georgian Co-Investment Fund, iTech Capital, Galaxy Digital,
BlackBuck,$1B,1,22-07-2021,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2015,$352M,352,0.352,Accel, Sands Capital, International Finance Corporation,
Bluecore,$1B,1,05-08-2021,Artificial intelligence,New York,United States,North America,2013,$238M,238,0.238,FirstMark Capital, Georgian Partners, Norwest Venture Partners,
BlueVoyant,$1B,1,23-02-2022,Cybersecurity,New York,United States,North America,2017,$526M,526,0.526,8VC, Liberty Strategic Capital, Eden Global Partners,
bolttech,$1B,1,01-07-2021,Fintech,,Singapore,Asia,2018,$210M,210,0.21,Mundi Ventures, Doqling Capital Partners, Activant Capital,
Boom Supersonic,$1B,1,16-12-2020,Other,Englewood,United States,North America,2014,$241M,241,0.241,WRVI Capital, Caffeinated Capital, Y Combinator,
Bringg,$1B,1,16-06-2021,"Supply chain, logistics, & delivery",Tel Aviv,Israel,Asia,2013,$185M,185,0.185,Salesforce Ventures, next47, Pereg Ventures,
C2FO,$1B,1,07-08-2019,Fintech,Leawood,United States,North America,2008,$538M,538,0.538,Union Square Ventures, Summerhill Venture Partners, Mithril Capital Management,
Cadence,$1B,1,14-12-2021,Health,New York,United States,North America,2020,$141M,141,0.141,Thrive Capital, General Catalyst, Coatue Management,
CAIS,$1B,1,11-01-2022,Fintech,New York,United States,North America,2009,$406M,406,0.406,Franklin Templeton, Motive Partners, Apollo Global Management,
Cameo,$1B,1,30-03-2021,Internet software & services,Chicago,United States,North America,2016,$165M,165,0.165,Lightspeed Venture Partners, Kleiner Perkins Caufield & Byers, Origin Ventures,
Capsule,$1B,1,28-04-2021,Health,New York,United States,North America,2016,$570M,570,0.57,Thrive Capital, Durable Capital Partners, G Squared,
CargoX,$1B,1,21-10-2021,"Supply chain, logistics, & delivery",Sao Paulo,Brazil,South America,2015,$390M,390,0.39,Valor Capital Group, Lightrock, Softbank Group,
Carro,$1B,1,14-06-2021,E-commerce & direct-to-consumer,,Singapore,Asia,2015,$595M,595,0.595,SingTel Innov8, Alpha JWC Ventures, Golden Gate Ventures,
